fr,id,jobs,kind,name,active,domain,sector,aliases,atsType,careersUrl,parentGroup,canonicalKey,domainSource,lastJobSyncAt,discoveryStatus
0,cmtm8owqf1gv1pv5jzaptvv27,0,UNKNOWN,NIKE Retail Belgium,0,,RETAIL,,UNKNOWN,,,NIKE_RETAIL_BELGIUM,,,PENDING
0,cmtm8owbz1gqdpv5jzk5s0e9v,0,UNKNOWN,NIKE Retail France,0,,RETAIL,,UNKNOWN,,,NIKE_RETAIL,,,PENDING
0,cmtm8owpd1guppv5j15bqkmn9,0,UNKNOWN,NIKE Retail Spain,0,,RETAIL,,UNKNOWN,,,NIKE_RETAIL_SPAIN,,,PENDING
0,cmtm8ox541gzxpv5j68ld2snr,0,UNKNOWN,"NIKE Sourcing (Guangzhou) Co., Ltd.",0,,RETAIL,,UNKNOWN,,,NIKE_SOURCING_GUANGZHOU_CO_LTD,,,PENDING
0,cmtm8oxqg1h7lpv5jdtq655bl,0,UNKNOWN,NIKE Sourcing India Private Limited,0,,RETAIL,,UNKNOWN,,,NIKE_SOURCING_INDIA_PRIVATE_LIMITED,,,PENDING
0,cmtm8p0f71i39pv5jj8whg3p9,0,UNKNOWN,Nike Taiwan Limited,0,,RETAIL,,UNKNOWN,,,NIKE_TAIWAN_LIMITED,,,PENDING
0,cmtm8oxcz1h2ppv5jdgpf6kjd,0,UNKNOWN,Nike (Thailand) Ltd.,0,,RETAIL,,UNKNOWN,,,NIKE_THAILAND_LTD,,,PENDING
0,cmtpjpi0a2fafpf5ln13si0cm,0,UNKNOWN,Nordstrom Inc,0,nordstrom.com,RETAIL,,UNKNOWN,,,NORDSTROM_INC,wikidata,,PENDING
0,cmtkdvuok1rrtnf2byceui6c7,0,UNKNOWN,NOTSHY,0,,OTHER,,UNKNOWN,,,NOTSHY,,,PENDING
0,cmtm8oxxz1h9tpv5j44j5trtr,0,UNKNOWN,NRBV Admin (inactif),0,,RETAIL,,UNKNOWN,,,NRBV_ADMIN_INACTIF,,,PENDING
0,cmtkdvv941rzynf2b2y3wk2vf,0,UNKNOWN,OFFICINE GÉNÉRALE,0,,FASHION,,UNKNOWN,,,OFFICINE_GENERALE,,,PENDING
0,cmtlyikz3065nqf5k4rcrf5wk,0,UNKNOWN,ōhme,0,ohme.shop,RETAIL,,UNKNOWN,,,OHME,wikidata,,PENDING
0,cmtkdvuki1rq7nf2bru0k9oqb,0,UNKNOWN,ŌKAN STUDIO,0,,OTHER,,UNKNOWN,,,OKAN_STUDIO,,,PENDING
0,cmtkdvul11rqfnf2bhcu5g9al,0,UNKNOWN,PAIN DE SUCRE,0,,OTHER,,UNKNOWN,,,PAIN_DE_SUCRE,,,PENDING
0,cmtkdvvre1s6qnf2brz4pdh60,0,UNKNOWN,PAUL & JOE,0,,OTHER,,UNKNOWN,,,PAUL_AND_JOE,,,PENDING
0,cmtlylkod0crwqf5k1rxzc94t,0,UNKNOWN,Peloton,0,onepeloton.com,RETAIL,,UNKNOWN,,,PELOTON,wikidata,,PENDING
0,cmtkdvut11rtxnf2bbx2stelb,0,UNKNOWN,PERSONAL SELLER PARIS,0,,FASHION,,UNKNOWN,,,PERSONAL_SELLER_PARIS,,,PENDING
0,cmtkdvvps1s62nf2bsgeq4q8i,0,UNKNOWN,PHILIPPE MODEL,0,,OTHER,,UNKNOWN,,,PHILIPPE_MODEL,,,PENDING
0,cmtke4lpz05a4lp2bdckzf8oe,0,UNKNOWN,Philosophy,0,,BEAUTY,,UNKNOWN,,Coty,PHILOSOPHY,,,PENDING
0,cmtkdvxhm1spenf2bhopz9nlc,0,UNKNOWN,PLAQ,0,,OTHER,,UNKNOWN,,,PLAQ,,,PENDING
0,cmtkevx0q0f94p22bzj7l1pu5,0,UNKNOWN,Prada Beauty,0,,BEAUTY,,UNKNOWN,,L'Oreal,PRADA_BEAUTY,,,PENDING
0,cmtkdvvxk1s8znf2bxnfuzkgb,0,UNKNOWN,PRAGMA,0,,OTHER,,UNKNOWN,,,PRAGMA,,,PENDING
0,cmtkdvw4j1sannf2bmoef4bim,0,UNKNOWN,PROJECT X PARIS,0,,FASHION,,UNKNOWN,,,PROJECT_X_PARIS,,,PENDING
0,cmtke8b8q0bqdlp2b0b11m6lb,0,UNKNOWN,Rabanne,0,,FASHION,,UNKNOWN,,Puig,RABANNE,,,PENDING
0,cmtkdw3m71uj9nf2b767u7mkh,0,UNKNOWN,RAG & BONE,0,,FASHION,,UNKNOWN,,,RAG_AND_BONE,,,PENDING
0,cmtp1z8q2042iqq4zlj578r07,0,UNKNOWN,Rebag,0,rebag.com,RETAIL,,UNKNOWN,,,REBAG,wikidata,,PENDING
0,cmtkdvxaf1smunf2b1fvvu80k,0,UNKNOWN,REINER,0,,OTHER,,UNKNOWN,,,REINER,,,PENDING
0,cmtk1zfg905uanv2bia5cvq2s,0,UNKNOWN,Rimmel,0,,BEAUTY,,UNKNOWN,,Coty,RIMMEL,,,PENDING
0,cmtkdvxpz1srwnf2be10ot3rk,0,UNKNOWN,RIVECOUR,0,,OTHER,,UNKNOWN,,,RIVECOUR,,,PENDING
0,cmtkdvykk1t27nf2bys4t6v2k,0,UNKNOWN,ROOM SERVICE,0,,OTHER,,UNKNOWN,,,ROOM_SERVICE,,,PENDING
0,cmtkdvuoc1rrpnf2b0f8dunsp,0,UNKNOWN,ROUJE,0,,FASHION,,UNKNOWN,,,ROUJE,,,PENDING
0,cmtp40a0d1njbqq4zox97m6qz,0,UNKNOWN,SAKS & CO LLC,0,saksfifthavenue.com,RETAIL,,UNKNOWN,,,SAKS_AND_CO_LLC,wikidata,,PENDING
0,cmtp40a9f1nnvqq4zl66v3skj,0,UNKNOWN,SAKS COM LLC,0,,RETAIL,,UNKNOWN,,,SAKS_COM_LLC,,,PENDING
0,cmtk1zlfk066xnv2bvxr547jp,0,UNKNOWN,Sally Hansen,0,,BEAUTY,,UNKNOWN,,Coty,SALLY_HANSEN,,,PENDING
0,cmtkdw1e11tswnf2b6fd0b63d,0,UNKNOWN,SCRUNCHIE IS BACK,0,,OTHER,,UNKNOWN,,,SCRUNCHIE_IS_BACK,,,PENDING
0,cmtkdvunv1rrinf2bgoj9qxls,0,UNKNOWN,SEBAGO,0,,OTHER,,UNKNOWN,,,SEBAGO,,,PENDING
0,cmtkdvv8n1rzunf2bk8t5pcdk,0,UNKNOWN,SHOWROOM MULTIBRAND,0,,OTHER,,UNKNOWN,,,SHOWROOM_MULTIBRAND,,,PENDING
0,cmtkdw3gt1uhinf2bsgiz31tp,0,UNKNOWN,SOLOVIÈRE PARIS,0,,FASHION,,UNKNOWN,,,SOLOVIERE_PARIS,,,PENDING
0,cmtkdvvyr1s9dnf2bl8od2ae3,0,UNKNOWN,SOULIERS MARTINEZ,0,,OTHER,,UNKNOWN,,,SOULIERS_MARTINEZ,,,PENDING
0,cmtkdvv4m1ryinf2bebdy3a0q,0,UNKNOWN,SPORTY & RICH,0,,OTHER,,UNKNOWN,,,SPORTY_AND_RICH,,,PENDING
0,cmtlyjuwu08xuqf5kl43ilrhw,0,UNKNOWN,Stella McCartney America Inc.,0,,RETAIL,,UNKNOWN,,,STELLA_MCCARTNEY_AMERICA_INC,,,PENDING
0,cmtlyjuur08xaqf5klhwkbnba,0,UNKNOWN,Stella McCartney Italia S.r.l,0,,RETAIL,,UNKNOWN,,,STELLA_MCCARTNEY_ITALIA_S_R_L,,,PENDING
0,cmtlyjv1z08zqqf5kcgokabae,0,UNKNOWN,Stella McCartney (Japan) Limited,0,,RETAIL,,UNKNOWN,,,STELLA_MCCARTNEY_JAPAN_LIMITED,,,PENDING
0,cmtlyjuwf08xqqf5k63jvwq7f,0,UNKNOWN,Stella McCartney Limited,0,,RETAIL,,UNKNOWN,,,STELLA_MCCARTNEY_LIMITED,,,PENDING
0,cmtkdvvw71s8inf2bxr5gbjmp,0,UNKNOWN,STEPHANE ROLLAND PARIS,0,,OTHER,,UNKNOWN,,,STEPHANE_ROLLAND_PARIS,,,PENDING
0,cmtm7vn7814r8pv5j6tlcdx9w,0,UNKNOWN,Stone By Stone,0,,RETAIL,,UNKNOWN,,,STONE_BY_STONE,,,PENDING
0,cmtm8m9oo1cjvpv5jkm4cmn9e,0,UNKNOWN,Stripe & Stare,0,,RETAIL,,UNKNOWN,,,STRIPE_AND_STARE,,,PENDING
0,cmtkdvvvz1s8enf2bsrubjbdd,0,UNKNOWN,SUZEL,0,,OTHER,,UNKNOWN,,,SUZEL,,,PENDING
0,cmtkdw49i1uq5nf2b95oar2fi,0,UNKNOWN,SWANN PARIS,0,,FASHION,,UNKNOWN,,,SWANN_PARIS,,,PENDING
0,cmtp3skdu1dhkqq4zs6p5f1lp,0,UNKNOWN,Swarovski Australia Pty.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_AUSTRALIA_PTY,,,PENDING
0,cmtp3skpn1dmkqq4zuua1szg8,0,UNKNOWN,Swarovski Belgium N.V.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_BELGIUM_N_V,,,PENDING
0,cmtp3sjxu1daoqq4z5wh9yc61,0,UNKNOWN,Swarovski Canada Limited,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_CANADA_LIMITED,,,PENDING
0,cmtp3skim1djsqq4zox4c98rl,0,UNKNOWN,Swarovski (Deutschland) GmbH,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_DEUTSCHLAND_GMBH,,,PENDING
0,cmtp3sk0w1dbwqq4z4lszwmdi,0,UNKNOWN,Swarovski France S.A.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_S_A,,,PENDING
0,cmtp3slpu1e30qq4zgzgtjqcj,0,UNKNOWN,Swarovski GBS Americas,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_GBS_AMERICAS,,,PENDING
0,cmtp3skre1dncqq4z07govslp,0,UNKNOWN,Swarovski GBS Asia,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_GBS_ASIA,,,PENDING
0,cmtp3smnt1ejsqq4zdvtai0x6,0,UNKNOWN,Swarovski Hellas S.A.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_HELLAS_S_A,,,PENDING
0,cmtp3smek1efkqq4zscquo3uu,0,UNKNOWN,Swarovski Hong Kong Ltd.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_HONG_KONG_LTD,,,PENDING
0,cmtp3sjyl1dawqq4zb37y74of,0,UNKNOWN,Swarovski Ibérica S.A.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_IBERICA_S_A,,,PENDING
0,cmtp3sl311dskqq4zt5be6uy2,0,UNKNOWN,Swarovski International Holding AG,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_INTERNATIONAL_HOLDING_AG,,,PENDING
0,cmtp3sk571ddkqq4zh1sry6bq,0,UNKNOWN,Swarovski Ireland Limited,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_IRELAND_LIMITED,,,PENDING
0,cmtp3sktw1dogqq4zttcza7uv,0,UNKNOWN,Swarovski Korea Ltd.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_KOREA_LTD,,,PENDING
0,cmtp3smcj1eekqq4z0uuyzs5i,0,UNKNOWN,"Swarovski Manufacturing (Thailand) Co., Ltd.",0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_MANUFACTURING_THAILAND_CO_LTD,,,PENDING
0,cmtp3sn2t1eq8qq4zyxivpo7v,0,UNKNOWN,Swarovski Mobility GmbH,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_MOBILITY_GMBH,,,PENDING
0,cmtp3ske21dhoqq4zhj9bpepd,0,UNKNOWN,Swarovski Netherlands B.V.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_NETHERLANDS_B_V,,,PENDING
0,cmtp3skey1di4qq4zh0w3bbt6,0,UNKNOWN,Swarovski North America,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_NORTH_AMERICA,,,PENDING
0,cmtp3sk2n1dcgqq4z3zhmte6o,0,UNKNOWN,Swarovski (Schweiz) AG,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_SCHWEIZ_AG,,,PENDING
0,cmtp3smk01ei8qq4zi6nnyv22,0,UNKNOWN,Swarovski Thailand Ltd.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_THAILAND_LTD,,,PENDING
0,cmtp3sk3z1dd4qq4ztmg1pznk,0,UNKNOWN,Swarovski UK Ltd.,0,,JEWELRY_WATCHES,,UNKNOWN,,,SWAROVSKI_UK_LTD,,,PENDING
0,cmtkdvvag1s0hnf2bw5zd6uu0,0,UNKNOWN,SWEET PANTS,0,,OTHER,,UNKNOWN,,,SWEET_PANTS,,,PENDING
0,cmtkdvxh51sp6nf2bf378kxvc,0,UNKNOWN,SYNALIA,0,,OTHER,,UNKNOWN,,,SYNALIA,,,PENDING
0,cmtp6oz5m2wl1qq4zllzqhixz,0,UNKNOWN,Tapestry (Cambodge) Company Ltd,0,,RETAIL,,UNKNOWN,,,TAPESTRY_CAMBODGE_COMPANY_LTD,,,PENDING
0,cmtp6owjt2vf5qq4zbtyyz3wf,0,UNKNOWN,"Tapestry Japan, LLC",0,,RETAIL,,UNKNOWN,,,TAPESTRY_JAPAN_LLC,,,PENDING
0,cmtn7sbvi1vosqq5lrj5n5rr8,0,UNKNOWN,THA- Levi Strauss (Thailand) Ltd,0,,RETAIL,,UNKNOWN,,,THA_LEVI_STRAUSS_THAILAND_LTD,,,PENDING
0,cmtkdvvj41s40nf2bmfp6mn82,0,UNKNOWN,THE CLOTHETTE RETAIL,0,,RETAIL,,UNKNOWN,,,THE_CLOTHETTE_RETAIL,,,PENDING
0,cmtlyqj260mpqqf5kg0q0cru8,0,UNKNOWN,The Condé Nast Publications Limited,0,,RETAIL,,UNKNOWN,,,THE_CONDE_NAST_PUBLICATIONS_LIMITED,,,PENDING
0,cmtp2arf30lucqq4z3wnlay93,0,UNKNOWN,"The RealReal, Inc.",0,therealreal.com,RETAIL,,UNKNOWN,,,THE_REALREAL_INC,wikidata,,PENDING
0,cmtkdw14h1tqanf2b2pgvn179,0,UNKNOWN,THIERRY LASRY,0,,OTHER,,UNKNOWN,,,THIERRY_LASRY,,,PENDING
0,cmtm7dyi60wk4pv5jyroy4b19,0,UNKNOWN,TOAST,0,,RETAIL,,UNKNOWN,,,TOAST,,,PENDING
0,cmtkdvw3o1sabnf2btjprd7tw,0,UNKNOWN,TOPOLOGIE,0,,OTHER,,UNKNOWN,,,TOPOLOGIE,,,PENDING
0,cmtlyj63g07idqf5kwrpgkxnx,0,UNKNOWN,Towa,0,,RETAIL,,UNKNOWN,,,TOWA,,,PENDING
0,cmtlynbus0gwqqf5kd2jj09cp,0,UNKNOWN,Tulip,0,,RETAIL,,UNKNOWN,,,TULIP,,,PENDING
0,cmtn5a6a304zqqq5llvh08n5h,0,UNKNOWN,UNIQLO EUROPE LIMITED,0,,FASHION,,UNKNOWN,,,UNIQLO_EUROPE_LIMITED,,,PENDING
0,cmtp3x7v21harqq4z4w0ut49g,0,UNKNOWN,United States of Aritzia Inc.,0,,RETAIL,,UNKNOWN,,,UNITED_STATES_OF_ARITZIA_INC,,,PENDING
0,cmtk23whh0dgnnv2b2136d7se,0,UNKNOWN,Uriage,0,,BEAUTY,,UNKNOWN,,Puig,URIAGE,,,PENDING
