id,title,countryCode,isFrance,city,location,url,externalId,source,postedAt,firstSeenAt,lastSeenAt,validThrough,jobFunction,seniority,canonicalSourceKey,description_hash,description_length,company,raw
cmtpiyuzd0n3vpf5l9gudlybl,(Senior) Manager Payroll (f/m/x),DE,False,Düsseldorf,"Düsseldorf, Germany",https://jobs.douglas.group/default/job/%28Senior%29-Manager-Payroll-%28fmx%29/602-en_US,602,SUCCESSFACTORS,2028-03-08T00:00:00,2026-09-06T08:03:31.801,2026-09-07T22:04:31.263,,hr-talent,SENIOR,,4fe53cd0b2e670e2fe21969613138cca,2157,Douglas,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtpiyuzx0n3zpf5lyxbc6fdl,Working Student Investor Relations (f/m/x),DE,False,Düsseldorf,"Düsseldorf, Germany",https://jobs.douglas.group/default/job/Working-Student-Investor-Relations-%28fmx%29/899-en_US,899,SUCCESSFACTORS,2027-06-08T00:00:00,2026-09-06T08:03:31.822,2026-09-07T22:04:31.272,,finance,,,c42f3093a5508f881fd283c10333e520,1693,Douglas,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtpiyv0j0n43pf5lozrm0xyk,Manager Investor Relations (f/m/x),DE,False,Düsseldorf,"Düsseldorf, Germany",https://jobs.douglas.group/default/job/Manager-Investor-Relations-%28fmx%29/920-en_US,920,SUCCESSFACTORS,2027-06-08T00:00:00,2026-09-06T08:03:31.844,2026-09-07T22:04:31.281,,finance,MANAGER,,f530ec424a23f835ec045abb452bdaed,1987,Douglas,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtpiyv140n47pf5lo4vcbdcn,(Senior) Analytics Manager Demand & Order Management (f/m/x),DE,False,Düsseldorf,"Düsseldorf, Germany",https://jobs.douglas.group/default/job/%28Senior%29-Analytics-Manager-Demand-&-Order-Management-%28fmx%29/898-en_US,898,SUCCESSFACTORS,2027-02-08T00:00:00,2026-09-06T08:03:31.864,2026-09-07T22:04:31.293,,customer-service,SENIOR,,69a8c1986a8915c047362a3d6cd411ca,2226,Douglas,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
cmtpiyv1w0n4bpf5lk1w18h3p,"Legal Counsel Commercial, Procurement & Product Compliance (f/m/x) - limited to 18 months",DE,False,Düsseldorf,"Düsseldorf, Germany",https://jobs.douglas.group/default/job/Legal-Counsel-Commercial%2C-Procurement-&-Product-Compliance-%28fmx%29-limited-to-18-months/878-en_US,878,SUCCESSFACTORS,2026-12-08T00:00:00,2026-09-06T08:03:31.892,2026-09-07T22:04:31.3,,legal-compliance,MID,,51e32c5d89dd6b4546c7d52002c348ab,2565,Douglas,"{'country': None, 'location': None, 'locations': None, 'datePosted': None, 'postedDate': None, 'countryCode': None, 'jobLocation': None}"
