jobId,titre_canonique,pays_canonique,url_canonique,sources
cmtrsla9p1610pg5mo0wtb1id,Senior Client Advisor | Full-time | Gold Coast,FR,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63763,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63762"", ""jobId"": ""cmtrsla9p1610pg5mo0wtb1id"", ""title"": ""Senior Client Advisor | Full-time | Gold Coast"", ""isActive"": true, ""postedAt"": ""2026-09-07T02:18:35"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63762"", ""lastSeenAt"": ""2026-09-07T22:08:26.922"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-07T22:08:26.942""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63763"", ""jobId"": ""cmtrsla9p1610pg5mo0wtb1id"", ""title"": ""CDD - Client Advisor (F/H) - Paris"", ""isActive"": true, ""postedAt"": ""2026-09-07T12:10:16"", ""sourceKey"": ""lvmh"", ""externalId"": ""63763"", ""lastSeenAt"": ""2026-09-07T22:27:47.167"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-07T22:27:47.189""}]"
cmtrslaab1615pg5m8dosnymn,CDD - Client Advisor (F/H) - Paris,AU,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63762,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63763"", ""jobId"": ""cmtrslaab1615pg5m8dosnymn"", ""title"": ""CDD - Client Advisor (F/H) - Paris"", ""isActive"": true, ""postedAt"": ""2026-09-07T12:10:16"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63763"", ""lastSeenAt"": ""2026-09-07T22:08:26.947"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-07T22:08:26.963""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63762"", ""jobId"": ""cmtrslaab1615pg5m8dosnymn"", ""title"": ""Senior Client Advisor | Full-time | Gold Coast"", ""isActive"": true, ""postedAt"": ""2026-09-07T02:18:35"", ""sourceKey"": ""lvmh"", ""externalId"": ""63762"", ""lastSeenAt"": ""2026-09-07T22:27:47.626"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-07T22:27:47.644""}]"
cmtlvhdp20bc53nk58l7vfcry,Client Advisor - Mandarin Speaking - Atlanta Lenox,US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/58678,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61596"", ""jobId"": ""cmtlvhdp20bc53nk58l7vfcry"", ""title"": ""Client Advisor - Atlanta Lenox"", ""isActive"": true, ""postedAt"": ""2025-07-25T15:22:00"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""61596"", ""lastSeenAt"": ""2026-09-07T22:08:28.335"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:58.643""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/58678"", ""jobId"": ""cmtlvhdp20bc53nk58l7vfcry"", ""title"": ""Client Advisor - Mandarin Speaking - Atlanta Lenox"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""58678"", ""lastSeenAt"": ""2026-09-07T22:28:46.964"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:35.134""}]"
cmtlvha9h0baj3nk511yko6ep,Senior Client Advisor | Full-time | Sydney Westfield,AU,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62523,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62523"", ""jobId"": ""cmtlvha9h0baj3nk511yko6ep"", ""title"": ""Senior Client Advisor | Full-time | Sydney Westfield"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""62523"", ""lastSeenAt"": ""2026-09-07T22:28:42.896"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:27.2""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63117"", ""jobId"": ""cmtlvha9h0baj3nk511yko6ep"", ""title"": ""Client Advisor | Opportunities across the Sydney Market"", ""isActive"": true, ""postedAt"": ""2026-05-20T01:13:24"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63117"", ""lastSeenAt"": ""2026-09-07T22:08:29.537"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:08:01.298""}]"
cmtlvh9u30bab3nk5gpw9i8wf,"Client Advisor, Part-Time, Vancouver Oakridge Park",CA,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62492,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62492"", ""jobId"": ""cmtlvh9u30bab3nk5gpw9i8wf"", ""title"": ""Client Advisor, Part-Time, Vancouver Oakridge Park"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""62492"", ""lastSeenAt"": ""2026-09-07T22:28:43.077"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:27.46""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61803"", ""jobId"": ""cmtlvh9u30bab3nk5gpw9i8wf"", ""title"": ""Client Advisor, Full-Time, Vancouver Burrard"", ""isActive"": true, ""postedAt"": ""2026-04-02T13:50:38"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""61803"", ""lastSeenAt"": ""2026-09-07T22:08:28.401"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:58.738""}]"
cmtk49cxj1ku9ny2bfbihsv41,"Client Advisor - Fashion Valley, San Diego",US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62587,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62587"", ""jobId"": ""cmtk49cxj1ku9ny2bfbihsv41"", ""title"": ""Client Advisor - Fashion Valley, San Diego"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""62587"", ""lastSeenAt"": ""2026-09-07T22:28:26.924"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:56.504""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63444"", ""jobId"": ""cmtk49cxj1ku9ny2bfbihsv41"", ""title"": ""Client Advisor - La Jolla, UTC (Mandarin Speaker)"", ""isActive"": true, ""postedAt"": ""2026-07-20T18:54:43"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63444"", ""lastSeenAt"": ""2026-09-07T22:08:30.296"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:08:03.044""}]"
cmtlvfoiv0af93nk5yqd84dac,"Client Advisor, Temporary - St. Louis (Plaza Frontenac)",US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63460,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63460"", ""jobId"": ""cmtlvfoiv0af93nk5yqd84dac"", ""title"": ""Client Advisor, Temporary - St. Louis (Plaza Frontenac)"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63460"", ""lastSeenAt"": ""2026-09-07T22:28:30.184"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:02.209""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/62441"", ""jobId"": ""cmtlvfoiv0af93nk5yqd84dac"", ""title"": ""Client Advisor - St. Louis (Plaza Frontenac)"", ""isActive"": true, ""postedAt"": ""2026-08-24T15:19:31"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""62441"", ""lastSeenAt"": ""2026-09-07T22:08:27.24"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:56.297""}]"
cmtlvhdmf0bc33nk59079fowe,Client Advisor - Atlanta Lenox,US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61596,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61596"", ""jobId"": ""cmtlvhdmf0bc33nk59079fowe"", ""title"": ""Client Advisor - Atlanta Lenox"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""61596"", ""lastSeenAt"": ""2026-09-07T22:28:44.995"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:30.8""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/58678"", ""jobId"": ""cmtlvhdmf0bc33nk59079fowe"", ""title"": ""Client Advisor - Mandarin Speaking - Atlanta Lenox"", ""isActive"": true, ""postedAt"": ""2024-02-21T17:43:45"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""58678"", ""lastSeenAt"": ""2026-09-07T22:08:27.921"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:57.701""}]"
cmtk48w1u1h73ny2bxybvsp2q,Client Advisor - Fort Worth,US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63592,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63592"", ""jobId"": ""cmtk48w1u1h73ny2bxybvsp2q"", ""title"": ""Client Advisor - Fort Worth"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63592"", ""lastSeenAt"": ""2026-09-07T22:28:12.832"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:12:34.626""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63749"", ""jobId"": ""cmtk48w1u1h73ny2bxybvsp2q"", ""title"": ""Client Advisor - Fort Worth"", ""isActive"": true, ""postedAt"": ""2026-09-05T17:18:21"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""63749"", ""lastSeenAt"": ""2026-09-07T22:08:26.816"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:55.518""}]"
cmtk49vi91ol5ny2bomvlbsze,Client Advisor - White Plains (Spanish Speaker),US,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63208,"[{""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/63208"", ""jobId"": ""cmtk49vi91ol5ny2bomvlbsze"", ""title"": ""Client Advisor - White Plains (Spanish Speaker)"", ""isActive"": true, ""postedAt"": null, ""sourceKey"": ""lvmh"", ""externalId"": ""63208"", ""lastSeenAt"": ""2026-09-07T22:28:38.909"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-02T13:13:20.578""}, {""url"": ""https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/61466"", ""jobId"": ""cmtk49vi91ol5ny2bomvlbsze"", ""title"": ""Client Advisor - White Plains"", ""isActive"": true, ""postedAt"": ""2026-06-03T19:27:37"", ""sourceKey"": ""tiffany-oracle"", ""externalId"": ""61466"", ""lastSeenAt"": ""2026-09-07T22:08:28.276"", ""sourceTier"": ""EMPLOYER_DIRECT"", ""firstSeenAt"": ""2026-09-06T08:07:58.536""}]"
