id,title,countryCode,isFrance,city,location,url,externalId,source,postedAt,firstSeenAt,lastSeenAt,validThrough,jobFunction,seniority,canonicalSourceKey,description_hash,description_length,company
cmtk48jfp1e0lny2bsc60qmw9,Responsable Ressources Humaines (F/H) - Région Belgique - CDI,FR,False,Bruxelles,"Bruxelles, Belgique",https://career55.sapsf.eu/sfcareer/jobreqcareer?company=SephoraUS&jobId=294203,294203,LVMH_ALGOLIA,2026-08-28T13:43:41,2026-09-02T13:12:18.277,2026-09-07T22:28:02.778,,hr-talent,MANAGER,,85329b4c2d6937dda97219e7ec0c492f,3444,Sephora
cmtp1wbd102dxqq4z33d3co5a,Quality Control Associated (CDD),FR,False,Tourcoing,Tourcoing,https://jobs.lever.co/vestiairecollective/6d42477a-56cc-4d78-834a-e4b0a9d2192c,6d42477a-56cc-4d78-834a-e4b0a9d2192c,LEVER,2026-08-10T08:58:41.088,2026-09-06T00:05:39.59,2026-09-08T15:27:21.263,,manufacturing-quality,MID,vestiaire-collective,ce02ed54b6cb70f49401a90899a2d37a,1207,Vestiaire Collective
cmtp1wbdb02e1qq4zqbedsx3e,Quality Control Associated (CDI),FR,False,Tourcoing,Tourcoing,https://jobs.lever.co/vestiairecollective/8766e9e7-ec27-471a-81a5-fb8638bb458b,8766e9e7-ec27-471a-81a5-fb8638bb458b,LEVER,2026-08-10T08:55:56.621,2026-09-06T00:05:39.6,2026-09-08T15:27:21.284,,manufacturing-quality,MID,vestiaire-collective,eb4ac5c4df1a95ab3cb73f9f37f663a7,1154,Vestiaire Collective
