externalId;title;department;city;country;verdict;basis;divisionsNamed;siteHint;beautyEvidence;pharmaEvidence;pageUrl
"1416444633";"Tax Accountant (english required)";"";"El Marques Queretaro";"MX";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/El-Marques-Queretaro-Tax-Accountant-%28english-required%29-Quer-76246/1416444633/"
"1414224533";"Technician, Analytical Service, CHC";"";"Eigeltingen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Eigeltingen-Technician%2C-Analytical-Service%2C-CHC-BW-78253/1414224533/"
"1293550101";"Technicien Maintenance Presses H/F";"";"Le Neubourg";"FR";"IN_SCOPE_BEAUTY";"division Beauty nommée dans le texte";"BEAUTY";"BEAUTY";"Qui n’a jamais rêvé d’être lié à des marques de luxe ? Aujourd’hui Aptar Beauty vous en donne l’opportunité ! Allez-vous donc la saisir ? Chez Aptar, nous nous appu";"";"https://jobs.aptar.com/job/Le-Neubourg-Technicien-Maintenance-Presses-HF-27-27110/1293550101/"
"1381819933";"Technicien Méthodes Mélange H/F";"";"Brecey";"FR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Brecey-Technicien-M%C3%A9thodes-M%C3%A9lange-HF-50-50370/1381819933/"
"1390688933";"Technicien.ne laboratoire (H/F)";"";"Le Vaudreuil";"FR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Le-Vaudreuil-Technicien_ne-laboratoire-%28HF%29-27-27100/1390688933/"
"1411573733";"Techniker (m/w/d) Elektro- & Automatisierungstechnik";"";"Eigeltingen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Eigeltingen-Techniker-%28mwd%29-Elektro-&amp;-Automatisierungstechnik-BW-78253/1411573733/"
"1434141433";"Técnico Manutenção Multifuncional I";"";"Cajamar";"BR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Cajamar-T%C3%A9cnico-Manuten%C3%A7%C3%A3o-Multifuncional-I-SP-07750-020/1434141433/"
"998819601";"Toolmaker";"";"Mukwonago";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"CLOSURES+PHARMA";"";"";"https://jobs.aptar.com/job/Mukwonago-Toolmaker-WI-53149/998819601/"
"1427601633";"Toolmaker III";"";"Maringa";"BR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Maringa-Toolmaker-III-PR-87065-090/1427601633/"
"1413830433";"Toolroom Technician";"";"Mukwonago";"US";"OUT_PHARMA_ONLY";"division Pharma nommée dans le texte";"PHARMA";"CLOSURES+PHARMA";"";"h and homes of millions of patients and consumers around the world. Our innovations nasal drug delivery for emergency medicines, precise fragrance applications, mess-free ketchup dispensing for";"https://jobs.aptar.com/job/Mukwonago-Toolroom-Technician-WI-53149/1413830433/"
"1380582433";"Toolroom Technician";"";"Cary";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"BEAUTY+PHARMA";"";"";"https://jobs.aptar.com/job/Cary-Toolroom-Technician-IL-60013/1380582433/"
"1152144901";"Toolroom Technician";"";"Mukwonago";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"CLOSURES+PHARMA";"";"";"https://jobs.aptar.com/job/Mukwonago-Toolroom-Technician-WI-53149/1152144901/"
"1424156833";"Verfahrensmechaniker (m/w/d)";"";"Eigeltingen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Eigeltingen-Verfahrensmechaniker-%28mwd%29-BW-78253/1424156833/"
"1423993033";"Warehouse Clerk";"";"Lincolnton";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"CLOSURES";"";"";"https://jobs.aptar.com/job/Lincolnton-Warehouse-Clerk-NC-28092/1423993033/"
"1426114133";"Werkstudent Controlling (m/w/d)";"";"Freyung";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"CLOSURES";"";"";"https://jobs.aptar.com/job/Freyung-Werkstudent-Controlling-%28mwd%29-BY-94078/1426114133/"
"1418795833";"Werkstudent Digitale Qualitätsprozesse (M/W/D)";"";"Eigeltingen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Eigeltingen-Werkstudent-Digitale-Qualit%C3%A4tsprozesse-%28MWD%29-BW-78253/1418795833/"
"1429535833";"Werkstudent Digitalisierung und Prozessoptimierung (m/w/d)";"";"Menden";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Menden-Werkstudent-Digitalisierung-und-Prozessoptimierung-%28mwd%29-NW-58706/1429535833/"
"1417822333";"Werkstudent im Bereich Human Resources (m/w/d)";"";"Villingen-Schwenningen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Villingen-Schwenningen-Werkstudent-im-Bereich-Human-Resources-%28mwd%29-BW-78052/1417822333/"
"1409691933";"Werkstudent im Bereich MES Support (m/w/d)";"";"Villingen-Schwenningen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Villingen-Schwenningen-Werkstudent-im-Bereich-MES-Support-%28mwd%29-BW-78052/1409691933/"
"1431001033";"Werkstudent (m/w/d) Digital Operations & Manufacturing Technology";"";"Villingen-Schwenningen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Villingen-Schwenningen-Werkstudent-%28mwd%29-Digital-Operations-&amp;-Manufacturing-Technology-BW-78052/1431001033/"
"1420280433";"Werkzeugmechaniker (m/w/d)";"";"Menden";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Menden-Werkzeugmechaniker-%28mwd%29-NW-58706/1420280433/"
"1401782033";"Werkzeugmechaniker Werkzeugreparatur (m-w-d)";"";"Eigeltingen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Eigeltingen-Werkzeugmechaniker-Werkzeugreparatur-%28m-w-d%29-BW-78253/1401782033/"
