id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtm78ka60nacpv5ja17slmk7","AKIRA","AKIRA","UNKNOWN","shopakira.com","","187","187"
"cmtp5231m2czuqq4zugsqalxv","Alaia","ALAIA","UNKNOWN","maison-alaia.com","Richemont","12","12"
"cmtpgj7p83dohqq4zc6l1us92","ALAIN AFFLELOU","ALAIN_AFFLELOU","UNKNOWN","alainafflelouoptico.es","","83","83"
"cmtm7vlnx14abpv5jyrtawce8","A.Lange and Sohne","A_LANGE_AND_SOHNE","UNKNOWN","alange-soehne.com","Richemont","30","32"
"cmtlyg9r801muqf5klchmoqem","Alberto","ALBERTO","UNKNOWN","alberto-pants.com","","5","5"
"cmtkdw0l91tk1nf2bns84n4tr","ALBYA","ALBYA","UNKNOWN","","","1","1"
"cmtpukv2229eml35msvpmgb2m","Alexander McQueen","ALEXANDER_MCQUEEN","UNKNOWN","alexandermcqueen.com","Kering","23","23"
"cmtkdw26y1u1gnf2biqd4m0tu","ALEXANDRA ZHUKOVA","ALEXANDRA_ZHUKOVA","UNKNOWN","","","0","1"
"cmtkdvujg1rpnnf2b42lriz7o","ALEXEIN CONSEIL","ALEXEIN_CONSEIL","UNKNOWN","","","0","1"
"cmtkdvzor1tafnf2bb0j058kz","ALOHAS","ALOHAS","UNKNOWN","","","0","3"
"cmtlyev9l004yqf5kbb6c49du","alpha industries","ALPHA_INDUSTRIES","UNKNOWN","alphaindustries.eu","","2","2"
"cmtkdvwi11sf1nf2bnatrxkov","ALTER DESIGNS","ALTER_DESIGNS","UNKNOWN","","","0","0"
"cmtkdw2nl1u79nf2bpupgruh3","ALVEOLE STUDIO","ALVEOLE_STUDIO","UNKNOWN","","","0","1"
"cmtpyrti4002p3ncq64cyetrk","Amantys","AMANTYS","UNKNOWN","amantys.fr","","1","1"
"cmtrsq0h61qmfpg5mkmceemxm","American Converse","AMERICAN_CONVERSE","UNKNOWN","","","1","1"
"cmtm8oyn41hi9pv5jorut827w","American Converse S.L.","AMERICAN_CONVERSE_S_L","UNKNOWN","","","0","0"
"cmtjwp18i065ym72bg5ksg9ol","American Vintage","AMERICAN_VINTAGE","UNKNOWN","americanvintage-store.com","","21","22"
"cmtkdvv2x1rxunf2b7qkds44w","AMESKA","AMESKA","UNKNOWN","","","0","0"
"cmtkdvuw81rvanf2b54k7a2ch","AMINA MUADDI","AMINA_MUADDI","UNKNOWN","aminamuaddi.com","","0","1"
"cmtk1xawc00zknv2b2dybtlb7","AMI Paris","AMI_PARIS","UNKNOWN","amiparis.com","","23","23"
"cmtk1xpzv01vonv2bzmxjc610","AMIRI","AMIRI","UNKNOWN","amiri.com","","43","44"
"cmtkdvup61rs5nf2baqharc22","AMOREPACIFIC","AMOREPACIFIC","UNKNOWN","amorepacific.com","","1","1"
"cmtnac1rh2smcqq5lnrpu7crl","ANNE FONTAINE","ANNE_FONTAINE","UNKNOWN","annefontaine.com","","0","1"
"cmtlyfcvr00kwqf5k13vjbmae","Annoushka","ANNOUSHKA","UNKNOWN","annoushka.com","","4","4"
"cmtpyry8w004j3ncqvpj2k5vd","Antipodes Médical","ANTIPODES_MEDICAL","UNKNOWN","antipodes-medical.com","","3","3"
"cmtoq4zay2zxkqq4zn3e3scsq","ANTOINE ET LILI","ANTOINE_ET_LILI","UNKNOWN","antoineetlili.com","","0","1"
"cmtkdvveq1s2cnf2b63n27ss0","APA CAPITAL","APA_CAPITAL","UNKNOWN","","","0","0"
"cmtkdvwgc1sednf2bnfwm5tv7","A.P.C.","A_P_C","UNKNOWN","apc.fr","","22","23"
"cmtk1x25v008snv2bv7w2h0el","Apivita","APIVITA","UNKNOWN","apivita.com","Puig","11","11"
"cmtk1yo9b04j7nv2bvtd8huil","APM Monaco","APM_MONACO","UNKNOWN","apm.mc","","100","114"
"cmtkdvuc91rmsnf2bcgwxwjng","APOSTROPHE","APOSTROPHE","UNKNOWN","apostrophe-paris.com","","0","1"
"cmtk227go0av0nv2bi28nhs5f","Aptar Beauty","APTAR_BEAUTY","UNKNOWN","aptar.com","","217","221"
"cmtkdvwkd1sfwnf2bfqbhra29","ARABIAN OUD","ARABIAN_OUD","UNKNOWN","","","2","2"
