"maison","careers_domain","kind","entry_url","job_url_pattern","robots_verdict"
"Oh My Cream","careers.ohmycream.com","teamtailor","{""origin"": ""https://careers.ohmycream.com""}","","ALLOWED"
"Patek Philippe","careers.patek.com","successfactors","{""origin"": ""https://careers.patek.com""}","","ALLOWED"
"Passage du Desir","passagedudesir-1730297136.teamtailor.com","teamtailor","{""origin"": ""https://passagedudesir-1730297136.teamtailor.com""}","","ALLOWED"
"Vivienne Westwood","viviennewestwood.teamtailor.com","teamtailor","{""origin"": ""https://viviennewestwood.teamtailor.com""}","","ALLOWED"
"Luxe Talent","www.luxetalent.net","wordpress","{""origin"": ""https://www.luxetalent.net"", ""categoryId"": 14}","","ALLOWED (Disallow /wp-admin/ only) — standard WP REST, x-wp-total 478"
"Michael Page France","www.michaelpage.fr","generic-listing","{""listingUrl"": ""https://www.michaelpage.fr/jobs"", ""linkPattern"": ""/job-detail/"", ""pageParam"": ""page"", ""concurrency"": 15}","","ALLOWED (Disallow covers /job-apply/, salary-param URLs and deep facets — not /jobs?page= nor /job-detail/)"
"Balmain","balmain-career.talent-soft.com","talentsoft","{""origin"": ""https://balmain-career.talent-soft.com""}","","ALLOWED"
"Longchamp","longchamp-career.talent-soft.com","talentsoft","{""origin"": ""https://longchamp-career.talent-soft.com""}","","ALLOWED"
"Groupe Printemps","printemps-career.talent-soft.com","talentsoft","{""origin"": ""https://printemps-career.talent-soft.com""}","","ALLOWED"
"Groupe Chantelle","groupechantelle-recrute.talent-soft.com","talentsoft","{""origin"": ""https://groupechantelle-recrute.talent-soft.com""}","","ALLOWED"
"Lagardère Travel Retail","lagardere-recrute.talent-soft.com","talentsoft","{""origin"": ""https://lagardere-recrute.talent-soft.com""}","","ALLOWED"
"Ba&sh","talents.ba-sh.com","bashtalents","{""origin"": ""https://talents.ba-sh.com"", ""locale"": ""fr-FR""}","","ALLOWED"
