maison,kind,config_json,jobs,with_description
"Promod",talentview,"{""vendor"":""talentview"",""slug"":""promodjob"",""company_website_id"":2498,""career_site"":""https://promodjob.talentview.io/"",""api_url"":""https://api.talentview.io/funnel/v2/companies/promodjob/campaigns"",""query"":{""company_website_id"":2498,""display_mode"":""list"",""offset_start"":1},""pagination"":{""param"":""offset_start"",""type"":""page_number"",""start"":1,""page_size"":10},""id_field"":""id"",""detail_url_template"":""https://promodjob.talentview.io/fr/campaigns/{slug}"",""origin"":""https://promodjob.talentview.io/""}",10,10
"Maison 123",teamtailor,"{""origin"":""https://career.maison123.com""}",52,52
"Soeur",teamtailor,"{""vendor"":""teamtailor"",""subdomain"":""soeur-1711354805"",""careers_url"":""https://soeur-1711354805.teamtailor.com/"",""jobs_url"":""https://soeur-1711354805.teamtailor.com/jobs"",""origin"":""https://soeur-1711354805.teamtailor.com/"",""account"":""soeur-1711354805"",""listingUrl"":""https://soeur-1711354805.teamtailor.com/jobs""}",52,52
"Bonobo",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Maison Margiela",successfactors,"{""origin"":""https://careers.otb.net""}",60,60
"Gemo",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",89,89
"AMIRI",lever,"{""site"":""AMIRI""}",42,38
"Morgan",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com"",""api"":""https://api.magnet.work/v2/job-offers""}",408,408
"Caroll",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Petit Bateau",smartrecruiters-whitelabel,"{""vendor"":""smartrecruiters"",""company"":""PetitBateau"",""public_careers_url"":""https://careers.smartrecruiters.com/PetitBateau"",""pagination"":{""param"":""page"",""page_size"":""~10-16 variable""},""api_note"":""api.smartrecruiters.com is robots-DISALLOWED for non-LinkedInBot agents; do not use"",""parent"":""Groupe Rocher"",""origin"":""https://careers.smartrecruiters.com/PetitBateau"",""account"":""PetitBateau""}",50,50
"Delvaux",workday,"{""tenant"":""richemont"",""site"":""richemont"",""origin"":""https://richemont.wd3.myworkdayjobs.com"",""brandMatch"":""logoImage.alt on job detail""}",1303,1000
"Buccellati",workday,"{""tenant"":""richemont"",""site"":""richemont"",""origin"":""https://richemont.wd3.myworkdayjobs.com"",""brandMatch"":""logoImage.alt on job detail""}",1303,1005
"Showroomprive",teamtailor,"{""vendor"":""teamtailor"",""careers_url"":""https://talents.showroomprivegroup.com/"",""jobs_url"":""https://talents.showroomprivegroup.com/jobs"",""rss"":""https://talents.showroomprivegroup.com/jobs.rss"",""origin"":""https://talents.showroomprivegroup.com/"",""listingUrl"":""https://talents.showroomprivegroup.com/jobs""}",30,30
"Diptyque",wttj,"{""slug"":""diptyque-paris""}",28,0
"Aubade",wttj,"{""slug"":""aubade""}",26,26
"American Vintage",wttj,"{""slug"":""american-vintage""}",25,25
"Marella",smartrecruiters-whitelabel,"{""company"":""MaxMaraFashionGroup"",""account"":""MaxMaraFashionGroup""}",182,182
"AMI Paris",recruitee,"{""subdomain"":""amiparis"",""account"":""amiparis""}",22,22
"L’Occitane en Provence",successfactors,"{""origin"":""https://careers-group.loccitane.com""}",15,15
"Lectra",wttj,"{""slug"":""lectra""}",22,22
"Rabanne",successfactors,"{""origin"":""https://jobs.puig.com"",""listingUrl"":""https://jobs.puig.com/search/?q=&startrow={N}"",""brandMatch"":""job slug""}",226,226
"Prada Beauty",avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union"",""sitemapUrl"":""https://careers.loreal.com/en_US/jobs/sitemap.xml""}",416,0
"Medik8",teamtailor,"{""origin"":""https://careers.medik8.com""}",19,19
"Prisma Media",teamtailor,"{""origin"":""https://emploi.prismamedia.com"",""listingUrl"":""https://emploi.prismamedia.com/jobs""}",19,19
"Byredo",successfactors,"{""origin"":""https://jobs.puig.com""}",226,226
"Charlotte Tilbury",wttj,"{""slug"":""charlotte-tilbury""}",17,17
"Jonak",wttj,"{""slug"":""jonak""}",17,17
"Quiksilver",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com"",""api"":""https://api.magnet.work/v2/job-offers""}",408,408
"Carolina Herrera",successfactors,"{""origin"":""https://jobs.puig.com""}",226,226
"DC Shoes",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"La Rosee",wttj,"{""slug"":""la-rosee""}",16,0
