nom	site	bucket	detail
hank player	https://www.hankplayer.com/	alive	200
eurosko	https://www.eurosko.no/	alive	200
damselfly	https://www.damselflyorganicclothing.com/	alive	200
foot locker kids	https://www.kidsfootlocker.com/	alive	200
erin snow	https://erinsnow.com/	http-dead	404
diamond supply co.	https://www.diamondsupplyco.com/	blocked	403
chloé	https://www.chloe.com/	alive	200
hamilton perkins collection	https://hamiltonperkins.com/collections/shop-bags	blocked	403
eva mann	https://eva-mann.com/	alive	200
golden head	https://www.goldenhead.de/	alive	200
eiger	https://eigeradventure.com/	net-error	UND_ERR_HEADERS_OVERFLOW
hawkers estafadores	https://www.hawkersco.com/	alive	200
cashmirino	https://www.cashmirino.com/	alive	200
frisur	https://www.frisurclothing.com/	alive	200
calvin klein	https://www.ck.com/	alive	200
fos amsterdam	https://fosamsterdam.nl/	alive	200
coppel	https://www.coppel.com/	blocked	403
inglot cosmetics	https://inglot.pl/	blocked	403
flora mirabilis	http://www.floramirabilis.com/	alive	200
esembly	https://esemblybaby.com/	alive	200
faith connexion	https://faithconnexion.com/	alive	200
dries van noten	https://www.driesvannoten.com/	alive	200
due.	https://duefashion.com/	alive	200
erin draper	https://erindraper.com/	http-dead	404
hackett	https://www.hackett.com/uk/en_gb/	alive	200
ericeira surf & skate	https://ericeirasurfskate.pt/pt/en/	alive	200
camilla pihl	https://camillapihl.com/	alive	200
fracomina	https://en.fracomina.com/	alive	200
carmin	https://carmin.pk/	alive	200
chaser	https://chaserbrand.com/	blocked	403
clmx	http://www.intagram.com/	alive	200
ed. pinaud	http://ed-pinaud.com/	alive	200
face atelier	https://www.faceatelier.com/	alive	200
goosecraft	https://www.goosecraft.com/	alive	200
hard night good morning	http://www.hardnightgoodmorning.com/	alive	200
consigned	https://www.consigned.co.uk/	alive	200
cqp	https://c-qp.com/	alive	200
flax	http://www.flaxdesigns.com/	alive	200
fashion fusion	https://www.fashionfusion.co.za/	alive	200
head	https://www.head.com/	blocked	429
fifthcraftystreet	https://www.fifthcraftystreet.com/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
g1920	https://www.g1920.de/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
designer brands	https://www.dsw.com/	alive	200
emanate essentials	https://emanateessentials.com/	alive	200
cipo & baxx	https://www.cipoandbaxx.com/	alive	200
eauso vert	https://eauso.com/	alive	200
earthyskin	http://earthyskin.com/	alive	200
giorgio 1958	https://www.giorgio1958.com/	alive	200
cat workwear	https://catwwr.com/	alive	200
catimini	https://www.catimini.fr/	alive	200
hearth and homestead llc	http://hearthandhomesteadstore.com/	alive	200
cyrillus	https://www.cyrillus.fr/	alive	200
gustav	https://www.gustav-denmark.com/	alive	200
daily paper	https://www.dailypaperclothing.com/	alive	200
fruit of the loom	https://www.fruit.com/	alive	200
flower mountain	http://www.flowermountain.com/	alive	200
country road	https://www.countryroad.com/	blocked	403
hello bello	http://www.hellobello.com/	alive	200
époque évolution	https://epoqueevolution.com/	alive	200
kantjeboord	https://www.kantjeboord.com/	blocked	403
franklin & marshall	http://www.franklinandmarshall.com/	alive	200
ground zero clothing	https://www.groundzeroclothing.com/	alive	200
elefanten	https://www.elefanten.de/	alive	200
crtfd	https://feature.com/collections/crtfd	alive	200
emily and fin	https://emilyandfin.co.uk/	alive	200
dosé lab	https://doselab.ch/	alive	200
cosabella	https://www.cosabella.com/	alive	200
howies	http://www.howies.co.uk/	alive	200
covergirl	http://www.covergirl.com/	alive	200
