maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
Osprey	personio	{"subdomain":"osprey","host":"osprey.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://osprey.jobs.personio.de/job/2686090	no board name to compare
Gigi Fratelli	personio	{"subdomain":"gigi","host":"gigi.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://gigi.jobs.personio.de/job/1935763	no board name to compare
GIGI MODA	personio	{"subdomain":"gigi","host":"gigi.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://gigi.jobs.personio.de/job/1935763	no board name to compare
GIGI BURRIS	personio	{"subdomain":"gigi","host":"gigi.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://gigi.jobs.personio.de/job/1935763	no board name to compare
Glow Jar Beauty	personio	{"subdomain":"glow","host":"glow.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://glow.jobs.personio.de/job/1878507	no board name to compare
Glow Natural Wellness	personio	{"subdomain":"glow","host":"glow.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://glow.jobs.personio.de/job/1878507	no board name to compare
Glow Recipe	personio	{"subdomain":"glow","host":"glow.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://glow.jobs.personio.de/job/1878507	no board name to compare
PURPLE PHOENIX NAIL SUPPLY	personio	{"subdomain":"purple","host":"purple.jobs.personio.de"}		3	SEO Marketing Manager | Social Media (Working Student) | Unsolicited Application	https://purple.jobs.personio.de/job/289919	no board name to compare
Purple Prairie Botanicals	personio	{"subdomain":"purple","host":"purple.jobs.personio.de"}		3	SEO Marketing Manager | Social Media (Working Student) | Unsolicited Application	https://purple.jobs.personio.de/job/289919	no board name to compare
Grow Fragrance	personio	{"subdomain":"grow","host":"grow.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://grow.jobs.personio.de/job/1458676	no board name to compare
