name,canonical_slug,segment,group,source,confidence
Boramy Viguier,boramy-viguier,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]]",HIGH
Bottega Veneta,bottega-veneta,FASHION,Kering,https://www.kering.com/fr/maisons/,HIGH
Botter,botter,FASHION,,https://botter.world/,LOW
Boucheron,boucheron,JEWELRY_WATCHES,Kering,https://www.comitecolbert.com/member-sitemap.xml | https://www.kering.com/fr/maisons/,HIGH
Boucheron Parfums,boucheron-parfums,BEAUTY,Interparfums SA,https://www.interparfums.fr/,HIGH
Bourjois,bourjois,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Boyarovskaya,boyarovskaya,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Breal,breal,FASHION,Groupe Beaumanoir,https://www.groupe-beaumanoir.com/brand-fr-sitemap.xml,HIGH
Breguet,breguet,JEWELRY_WATCHES,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Breitling,breitling,JEWELRY_WATCHES,,https://catwalks.io/sitemap-maisons.xml,HIGH
Brioni,brioni,FASHION,Kering,https://www.kering.com/fr/maisons/,HIGH
Bruno Banani,bruno-banani,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Buccellati,buccellati,JEWELRY_WATCHES,Richemont,https://www.richemont.com/en/home/brands/,HIGH
Bulgari,bulgari,JEWELRY_WATCHES,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Bumble and bumble,bumble-and-bumble,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Burberry Beauty,burberry-beauty,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Burc Akyol,burc-akyol,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]] | https://andam.fr/laureats-andam/",HIGH
Byredo,byredo,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
BZB,bzb,FASHION,,https://www.b-z-b.com/,HIGH
Cacharel,cacharel,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Cache Cache,cache-cache,FASHION,Groupe Beaumanoir,https://www.groupe-beaumanoir.com/brand-fr-sitemap.xml,HIGH
Calvin Klein Fragrances,calvin-klein-fragrances,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Canada Goose,canada-goose,FASHION,,https://catwalks.io/sitemap-maisons.xml,HIGH
Carel Paris,carel-paris,FASHION,,https://www.carel-paris.com/,LOW
Carita,carita,BEAUTY,L'Oreal,https://www.comitecolbert.com/member-sitemap.xml | https://www.loreal.com/en/brands/,HIGH
Carolina Herrera,carolina-herrera,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
Caroll,caroll,FASHION,Groupe Beaumanoir,https://www.groupe-beaumanoir.com/brand-fr-sitemap.xml,HIGH
Cartier,cartier,JEWELRY_WATCHES,Richemont,https://catwalks.io/sitemap-maisons.xml | https://www.comitecolbert.com/member-sitemap.xml | https://www.richemont.com/en/home/brands/,HIGH
Carven,carven,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Casablanca,casablanca,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Casablanca Paris,casablanca-paris,FASHION,,https://casablancaparis.com/,LOW
Caudalie,caudalie,BEAUTY,,https://fr.caudalie.com/,HIGH
Cecilie Bahnsen,cecilie-bahnsen,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Celine,celine,FASHION,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr | https://fhcm.paris/fr/maisons?status=1 | https://www.comitecolbert.com/member-sitemap.xml,HIGH
CeraVe,cerave,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Cerruti 1881,cerruti-1881,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
CFCL,cfcl,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Chanel,chanel,FASHION,Chanel,https://catwalks.io/sitemap-maisons.xml | https://fhcm.paris/fr/maisons?status=1 | https://www.comitecolbert.com/member-sitemap.xml,HIGH
Chantecaille,chantecaille,BEAUTY,Beiersdorf,https://www.beiersdorf.com/brands,HIGH
Chantelle,chantelle,FASHION,Groupe Chantelle,https://chantelle.com/groupe/fr/marques,HIGH
Chantelle X,chantelle-x,FASHION,Groupe Chantelle,https://chantelle.com/groupe/fr/marques,HIGH
Chargeurs,chargeurs,SUPPLIER,,https://www.chargeurs.com,HIGH
Charles de Vilmorin,charles-de-vilmorin,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]]",HIGH
Charlotte Tilbury,charlotte-tilbury,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
Chaumet,chaumet,JEWELRY_WATCHES,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Chevignon,chevignon,FASHION,,https://chevignon.com/,HIGH
Chic et Style,chic-et-style,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Chloé,chloe,FASHION,Richemont,https://catwalks.io/sitemap-maisons.xml | https://fhcm.paris/fr/maisons?status=1 | https://www.comitecolbert.com/member-sitemap.xml | https://www.richemont.com/en/home/brands/,HIGH
Chloe Parfums,chloe-parfums,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Chopard,chopard,JEWELRY_WATCHES,,https://www.chopard.fr,HIGH
Christian Dior Couture,christian-dior-couture,FASHION,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr | https://catwalks.io/sitemap-maisons.xml | https://fhcm.paris/fr/maisons?status=1 | https://www.comitecolbert.com/member-sitemap.xml,HIGH
