maison,kind,declared_jobs,reason
"Maison Margiela Fragrances",avature,0,"HTTP 406 for https://careers.loreal.com/en_US/jobs/SearchJobs/?jobOffset=0&jobOffset=0"
"Marie Claire",wttj,0,"returned 0 jobs"
"Mixa",avature,0,"HTTP 406 for https://careers.loreal.com/en_US/jobs/sitemap.xml"
"Mizani",avature,0,"HTTP 406 for https://careers.loreal.com/en_US/jobs/sitemap.xml"
"Niely",avature,0,"HTTP 406 for https://careers.loreal.com/en_US/jobs/sitemap.xml"
"NIOD",eightfold,0,"HTTP 405 for https://careers.elcompanies.com/careers"
"Passionata",talentsoft,0,"no adapter for kind ""talentsoft"""
"Pierre Cardin",workable,0,"returned 0 jobs"
"Pulp Riot",avature,0,"HTTP 406 for https://careers.loreal.com/en_US/jobs/sitemap.xml"
"S.T. Dupont",wttj,0,"returned 0 jobs"
"Sézane",workable,0,"returned 0 jobs"
"Viktor&Rolf Fragrances",avature,0,"Avature listingUrl or sitemapUrl required"
"Vogue (haircare)",avature,0,"Avature listingUrl or sitemapUrl required"
"Yue Sai",avature,0,"Avature listingUrl or sitemapUrl required"
