Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"Aéropostale",17,"RETAIL","",""
"f.a.e.",17,"RETAIL","",""
"Groupe Rocher",16,"BEAUTY","Groupe Rocher",""
"Richard Ginori",16,"RETAIL","",""
"Respire",16,"BEAUTY","",""
"NEIMAN MARCUS GROUP TECHNOLOGY SERVICES PRIVATE LIMITED (INDIA)",16,"RETAIL","",""
"La Rosée",15,"BEAUTY","",""
"Swarovski (Schweiz)",15,"JEWELRY_WATCHES","",""
"Too Faced",15,"BEAUTY","Estee Lauder",""
"Coach Malaysia SDN. BHD.",15,"RETAIL","",""
"ILIA",15,"RETAIL","",""
"John Henric",14,"RETAIL","",""
"Little Words Project",14,"RETAIL","",""
"Les Publications Condé Nast",14,"RETAIL","",""
"Bellr",14,"RETAIL","",""
"Passage du Desir",14,"BEAUTY","",""
"Nutrafol",13,"RETAIL","",""
"KENT",13,"RETAIL","",""
"FROM FUTURE",13,"RETAIL","",""
"GEORGES",11,"RETAIL","",""
"Galileo",13,"RETAIL","",""
"Air MI",13,"RETAIL","",""
"Groupe Les Echos Le Parisien",13,"LUXURY","",""
