nom	site	bucket	detail
outback ranch	https://outback-ranch21.square.site/	net-error	ENOTFOUND
rodan & fields	https://www.rodanandfields.com/	blocked	403
pit bull	https://pitbullstore.eu/	net-error	ENOTFOUND
the book club	https://tbceyewear.com/	net-error	ENOTFOUND
sandali siniscalchi	https://sandalisiniscalchi.com/	alive	200
studio 8 by phase eight	https://www.phase-eight.com/plus-size/	alive	200
qurc. amsterdam	https://www.qurc-amsterdam.com/	net-error	ENOTFOUND
sunday saint-tropez	https://sunday-saint-tropez.com/en/	net-error	ENOTFOUND
solluna by kimberly snyder	http://www.mysolluna.com/	alive	200
smith & canova	https://www.smithandcanova.co.uk/	net-error	ENOTFOUND
rené lezard	http://www.rene-lezard.com/	alive	200
spagnolo	https://www.spagnolo.es/	net-error	ENOTFOUND
reusch	http://www.reusch.com/	alive	200
piper & skye	https://www.piperandskye.com/	net-error	ENOTFOUND
soft gallery	https://www.softgallery.dk/	alive	200
mistervinas	https://mistervinas.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
rumisu	https://international.rumisu.com/	net-error	ENOTFOUND
rooted beauty	https://www.grove.co/rootedbeauty	net-error	ENOTFOUND
slater menswear	https://www.slaters.co.uk/	blocked	403
rains	https://www.rains.dk/	alive	200
sustain	https://www.sustain.nl/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
plantéa skincare	https://www.planteaskin.com/	net-error	ENOTFOUND
noonday collection	http://www.noondaycollection.com/	net-error	ENOTFOUND
pure atlanta	https://www.pureatlanta.com/	alive	200
spanx	https://www.spanx.com/	alive	200
piticas	https://piticas.com.br/	net-error	ECONNREFUSED
rielli	https://riellibrand.com/	net-error	ENOTFOUND
rivet utility	https://rivetutility.com/	http-dead	404
shinzone	https://shinzone.com/	net-error	ENOTFOUND
princess jewellery	https://princessjewellery.cz/	alive	200
plus ultra	https://liveplusultra.com/	net-error	ENOTFOUND
nouvelle compagnie des détergents et du savon de marseille	https://savon-de-marseille.com/	alive	200
rebecca vallance	https://www.rebeccavallance.com/	net-error	ENOTFOUND
pyrrha jewelry	http://www.pyrrha.com/	alive	200
shakti shanti	https://shaktishantiyogawear.com/	net-error	ENOTFOUND
suldn	https://suldn.com/	alive	200
one plane jane	https://oneplanejane.com/	net-error	UND_ERR_CONNECT_TIMEOUT
rive gauche	http://www.rivegauche.ru/	blocked	503
rocksbox	https://www.rocksbox.com/	net-error	ENOTFOUND
shoreditch ski club	https://shoreditchskiclub.com/	net-error	ENOTFOUND
riva mode	https://www.rivafashion.com/en/	alive	200
seasalt	https://www.seasaltcornwall.com/	alive	200
removery	https://removery.com/	net-error	ENOTFOUND
sly	https://sly.jp/	net-error	ENOTFOUND
soeder	https://en.soeder.ch/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
pound cake	https://poundcakecosmetics.com/	alive	200
schuhpark	https://www.schuhpark.de/	alive	200
terstal	https://www.terstal.nl/	alive	200
nothomme blue	https://nothomme.com/	net-error	ENOTFOUND
re-bello	https://www.re-bello.com/en/	http-dead	402
stenströms	https://stenstroms.com/en	http-dead	404
still nordic	https://www.stillnordic.com/	net-error	ENOTFOUND
sacred valley	https://sacredvalley.store/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ripa ripa	https://riparipa.com/	net-error	ENOTFOUND
qubz	https://www.qubzclothing.com/	http-dead	404
rael	https://www.getrael.com/	alive	200
phosis	http://phosis.com/	net-error	ENOTFOUND
softhyphen	https://www.softhyphen.tokyo/	net-error	ENOTFOUND
raspberryplum	https://raspberryplum.com/	http-dead	402
sara battaglia	https://www.sarabattaglia.com/	net-error	ENOTFOUND
olove® skin	http://onelovebodysoul.com/	net-error	ENOTFOUND
riu paris	https://www.riuparis.fr/	alive	200
studio ditte	https://www.studioditte.nl/	net-error	ENOTFOUND
s.t. dupont	http://www.st-dupont.com/	alive	200
sprinjene natural toothpaste	http://www.sprinjene.com/	net-error	ENOTFOUND
prairie potions	http://www.prairiepotions.ca/	net-error	ENOTFOUND
protest	https://www.protest.eu/en/gb/	blocked	403
